id;bill_number;bill_date;subtotal;tax_amount;discount_amount;service_charge;total_amount;amount_paid;amount_due;status;generated_by;notes
971714de-e6f3-4777-9a06-e1b41ba36d06;BILL-1001;2025-12-27T12:55:00;71.00;5.33;7.10;3.55;72.78;72.78;0.00;PAID;pos_jane;Dinner for two
f31fc3fd-6739-4bd7-8383-0d38b22bdd8c;BILL-1002;2025-12-27T13:20:00;45.50;6.60;2.00;2.28;52.38;52.38;0.00;PAID;pos_ryan;Takeaway lunch
a2b1a03c-052d-4467-8c13-efdf976d3b93;BILL-1003;2025-12-27T18:50:00;38.50;3.41;0.00;1.93;43.84;43.84;0.00;PAID;app_order;Delivery with tip excluded
1bde68c2-c897-449a-a076-194530269c86;BILL-1004;2025-12-27T19:15:00;24.00;2.10;0.00;1.20;27.30;27.30;0.00;PAID;pos_jane;Quick takeaway
ac57394d-8950-4be3-b5d1-3f5223f16753;BILL-1005;2025-12-27T20:05:00;53.00;4.64;6.82;2.65;53.47;53.47;0.00;PAID;pos_sam;Happy hour group
51e26bec-4f9d-4702-8d6c-617502e7eb7d;BILL-1006;2025-12-27T21:25:00;19.00;1.43;0.00;0.95;21.38;21.38;0.00;PAID;pos_nina;Coffee and snack
b9792fe0-1f94-4ed1-b462-f24834476716;BILL-1007;2025-12-27T22:10:00;12.00;0.90;3.00;0.60;10.50;10.50;0.00;PAID;web;Dessert add-on
58afb5f7-6db1-4939-bdcc-7edc257a1c0d;BILL-1008;2025-12-28T09:20:00;28.00;2.80;4.00;1.40;28.20;28.20;0.00;PAID;app_order;Breakfast combo
97b5b65f-6213-42ca-a62b-4a10b9cc0efb;BILL-1009;2025-12-28T12:40:00;64.00;5.12;0.00;3.20;72.32;0.00;72.32;PENDING;pos_jane;Awaiting payment
e84e6de0-91bf-49ef-a977-e873132845c7;BILL-1010;2025-12-28T18:30:00;85.00;6.80;6.83;4.25;89.22;89.22;0.00;PAID;pos_ryan;Family dinner
