id;discount_code;discount_type;discount_value;discount_amount
6817406a-1853-40b2-bf88-78c0eaea8fbc;WELCOME10;PERCENTAGE;10.00;7.10
56bf955a-715e-47b9-8af3-97656b8a7d33;LUNCH5;PERCENTAGE;5.00;3.55
2966e7d9-9c89-4933-8e48-87776048ebea;COFFEE2;AMOUNT;2.00;2.00
9a9869aa-9ba4-404d-bfe8-24c046836cf4;HAPPYHOUR;PERCENTAGE;15.00;6.82
89e3e5e8-1bf3-4759-a16a-47fd07098dcb;FAMILY20;AMOUNT;20.00;20.00
60ab465d-f8e2-4851-a7b9-a64a09346b58;STUDENT5;PERCENTAGE;5.00;2.28
7835f20e-d31b-4786-a5aa-3122866fef42;TAKEOUT8;PERCENTAGE;8.00;1.52
244e2e9d-0d7a-4979-ab9d-f1b47c9ad1ea;DESSERT3;AMOUNT;3.00;3.00
8b6c8d70-daca-4a35-9dc6-379c8867e100;FIRSTBEV;AMOUNT;4.00;4.00
6e46486e-c1df-4471-904d-3221a0563380;LOYAL15;PERCENTAGE;15.00;6.83
