id;item_name;quantity;unit_price;item_total
af5dc673-8aa9-4d06-bada-a8a2a822eef0;Margherita Pizza;2;9.50;19.00
58beac68-5d0b-4fd2-8c4c-22e32226c9ce;Butter Chicken;1;13.00;13.00
0d0d1f8f-e619-4fdb-97ef-fce9a3dd7880;Paneer Tikka;1;8.00;8.00
4adbef09-534f-4b85-939d-257ffba00226;Caesar Salad;1;7.50;7.50
6a8f7e1f-0430-490d-833e-a925c24d607b;Cold Brew Coffee;2;3.50;7.00
fafe339d-2cac-43f1-9b24-c9ff3d73c9f9;Mango Lassi;1;4.00;4.00
42df47e1-5eec-4ecd-95fc-16b1928f59da;Craft IPA;1;6.50;6.50
cb4917e7-d629-4d6a-9147-29474a17e6b8;Chocolate Lava Cake;2;6.00;12.00
b0977574-632c-43b6-94fc-a339bfeac821;Extra Cheese Add-on;1;1.50;1.50
f211a0c6-3adc-4260-9f24-32a12145c2a9;Fries;1;2.75;2.75
