id;tax_name;tax_rate;taxable_amount;tax_amount
f70f8bb7-62e8-408a-9387-d92b9647e15a;VAT;7.50;71.00;5.33
e5e7e5af-5a32-4f85-bdec-2ec7ef25ea6e;Service Charge;5.00;71.00;3.55
fd4f3dd6-86c4-4d95-87bf-a45ce2a587e1;City Tax;2.00;71.00;1.42
6a8e84e5-44f7-412e-abfd-42cf58f5abf3;VAT;7.50;45.50;3.41
9d2d3a74-d273-4017-9f37-f0a86b08e95d;Service Charge;5.00;45.50;2.28
a5300b50-5692-444d-a430-a01d9569a3a7;City Tax;2.00;45.50;0.91
49383b09-29f2-4790-84ee-d38e6317d04e;VAT;7.50;28.00;2.10
ad3e8d6b-8a0c-4a2f-a504-4ae639ce6b4e;Service Charge;5.00;28.00;1.40
9df8fc58-b3c2-425a-9939-8e33ef405ea3;City Tax;2.00;28.00;0.56
1ba06a9d-fc77-4fa4-8ddc-2e98da8a6702;Packaging Fee;0.50;28.00;0.14
