id;loyalty_points;tier;enrolled_at;last_points_earned_at;is_active
05aafb4d-7ce3-472e-8e3f-c4deb17b78eb;1200;Silver;2025-01-10T10:05:00;2025-12-20T18:45:11;true
fa08cdd1-5235-40c8-9cac-c471e252d2ea;450;Bronze;2025-02-05T12:15:00;2025-12-18T08:08:47;true
63cc7e08-f854-496d-8051-3c72a3b10062;3200;Gold;2025-03-22T09:00:00;2025-12-19T15:53:39;true
dbde8622-9f1a-4ca1-a2a2-aa7073bd3558;800;Silver;2025-04-11T08:30:00;2025-12-21T16:45:09;true
554470b7-380f-4c08-bb85-aca2a053820e;5200;Platinum;2025-05-04T14:10:00;2025-12-22T11:43:27;true
850795ac-9763-4db5-8a51-830f7811f13a;275;Bronze;2025-06-18T18:55:00;2025-12-17T09:42:31;true
4809e338-8163-4453-857c-b24ead4360f4;1800;Silver;2025-07-02T12:20:00;2025-12-23T14:55:17;true
6fee463c-3c0e-4746-8c00-d422cda827a2;950;Silver;2025-08-15T10:45:00;2025-12-16T15:29:05;true
92a66ef8-31df-4189-9636-cad5c0769cb1;150;Bronze;2025-09-07T09:35:00;2025-12-15T12:00:06;true
e261cb5a-d0a5-4bbb-ba87-c33cb720c41e;2400;Gold;2025-10-19T11:10:00;2025-12-24T19:37:22;true
