id;discount_code;discount_name;discount_type;discount_value;min_order_amount;max_discount_amount;applicable_to;valid_from;valid_to;max_uses;current_uses;is_active
4f6078d3-f54c-4f92-a5ab-211546c77727;WELCOME10;New user welcome offer;PERCENTAGE;10.00;20.00;10.00;ALL;2025-12-01;2026-12-31;5000;1200;true
37204905-3ac2-494d-a6e3-d64d55143f9a;LUNCH5;Weekday lunch special;PERCENTAGE;5.00;15.00;5.00;FOOD;2025-12-01;2026-12-31;2000;450;true
28404b17-3b07-442a-a48f-7a673cf10494;COFFEE2;Afternoon coffee combo;AMOUNT;2.00;8.00;2.00;BEVERAGE;2025-12-01;2026-12-31;1500;320;true
34c61268-1d09-4d28-b086-7df88d8c496a;HAPPYHOUR;Happy hour drinks;PERCENTAGE;15.00;10.00;15.00;ALCOHOL;2025-12-01;2026-12-31;3000;980;true
3f2428f5-44c4-4fcf-82cf-4a5af4eb8877;FAMILY20;Family platter offer;AMOUNT;20.00;60.00;20.00;FOOD;2025-12-01;2026-12-31;800;120;true
b5a1c1d1-97b6-46fd-93a7-a8a31a30b041;STUDENT5;Student ID discount;PERCENTAGE;5.00;10.00;5.00;ALL;2025-12-01;2026-12-31;1200;210;true
0bd4eeb3-e6e2-4139-937a-422191084881;TAKEOUT8;Takeout only;PERCENTAGE;8.00;25.00;12.00;ALL;2025-12-01;2026-12-31;1000;180;true
2831ec28-72fe-4f1e-87d4-045472965067;DESSERT3;Add dessert for less;AMOUNT;3.00;12.00;3.00;DESSERT;2025-12-01;2026-12-31;600;90;true
50552c63-9c73-4d59-ab8e-d412da2059e5;FIRSTBEV;First beverage free;AMOUNT;4.00;5.00;4.00;BEVERAGE;2025-12-01;2026-12-31;700;140;true
ae34a8ce-b2e8-4ae9-9ab7-8c38583c345d;LOYAL15;Loyalty tier bonus;PERCENTAGE;15.00;30.00;15.00;ALL;2025-12-01;2026-12-31;900;300;true
