id;current_stock;unit;min_stock_level;max_stock_level;last_updated_at;last_updated_by
9f7e1720-f015-44bd-afae-8b4813eb39d5;120.00;kg;40.00;200.00;2025-12-27T10:00:00;inventory_bot
1491975f-7698-4ea0-b58d-ff560a45bc1e;85.50;kg;25.00;150.00;2025-12-27T11:15:00;chef_maria
8684a3e3-0387-4aab-8881-c75cd21316cb;45.00;ltr;15.00;120.00;2025-12-27T09:30:00;bar_manager
60ca5fdb-1b5c-444a-8bc1-505cc9d3bfd9;320.00;pcs;100.00;600.00;2025-12-27T13:00:00;stock_room
1516ea6f-152c-47a3-a100-17dd528e0eb0;60.00;kg;20.00;180.00;2025-12-27T15:45:00;sous_chef
43d2eae2-78ba-4c6d-99a2-0241710c30d5;25.00;ltr;10.00;80.00;2025-12-27T17:20:00;bar_manager
9d49f3bb-9992-4369-a0be-39e853160fce;14.00;kg;5.00;40.00;2025-12-27T18:05:00;inventory_bot
5c163cdb-dc5a-4fdd-8230-51f84b7fe5a2;9.00;kg;3.00;25.00;2025-12-27T18:45:00;chef_maria
bf5ccd12-ed1a-44bf-816b-4f7b81ba21dc;180.00;pcs;60.00;400.00;2025-12-27T19:10:00;service_lead
31e23027-01bd-4c23-bb9a-353a951a7b70;45.00;kg;10.00;100.00;2025-12-27T19:55:00;stock_room
