id;order_number;order_type;order_source;status;order_date;estimated_ready_time;actual_ready_time;special_instructions;subtotal;tax_amount;discount_amount;total_amount;is_paid;cancelled_at;cancelled_by;cancellation_reason
44738e4f-6e5a-4b3c-b67f-a6a74dbed398;ORD-1001;DINE_IN;POS;COMPLETED;2025-12-27T12:30:00;2025-12-27T12:50:00;2025-12-27T12:48:00;No onions on salad;42.50;3.19;0.00;45.69;true;;; 
e8181130-2e5e-4c2d-ba22-b3e79484eeef;ORD-1002;TAKEAWAY;APP;READY;2025-12-27T13:05:00;2025-12-27T13:25:00;2025-12-27T13:18:00;Extra napkins please;28.00;2.10;2.80;27.30;true;;; 
9de09391-117c-4c01-a195-808061c40043;ORD-1003;DELIVERY;WEB;ON_THE_WAY;2025-12-27T18:10:00;2025-12-27T18:45:00;2025-12-27T18:42:00;Leave at reception;55.00;4.13;5.50;53.63;true;;; 
a8fcf44b-6d01-45ba-8873-e3a2c16334f0;ORD-1004;DINE_IN;POS;COMPLETED;2025-12-27T19:40:00;2025-12-27T20:05:00;2025-12-27T20:02:00;Birthday candle on dessert;72.00;5.40;7.20;70.20;true;;; 
3b73b133-d5f7-4bdf-8d1d-a813e21491da;ORD-1005;DINE_IN;POS;CANCELLED;2025-12-27T14:15:00;2025-12-27T14:35:00;;Table cancelled after seating;0.00;0.00;0.00;0.00;false;2025-12-27T14:25:00;host_matt;Customer emergency
ba283816-1b72-47cd-acdd-32f7ba22a49d;ORD-1006;DELIVERY;APP;COMPLETED;2025-12-27T21:05:00;2025-12-27T21:40:00;2025-12-27T21:36:00;Door code 1234;38.50;2.89;0.00;41.39;true;;; 
a38c26c0-800f-4e69-a467-d27798d2437e;ORD-1007;TAKEAWAY;POS;COMPLETED;2025-12-27T11:55:00;2025-12-27T12:15:00;2025-12-27T12:10:00;Add ketchup packets;19.00;1.43;0.00;20.43;true;;; 
e6c73770-7bb1-4902-afa0-ba782ed65f04;ORD-1008;DINE_IN;POS;IN_PROGRESS;2025-12-27T18:25:00;2025-12-27T18:55:00;;Allergic to peanuts;36.00;2.70;0.00;38.70;false;;; 
3b606005-a842-4ba2-b64d-c096ca6787ee;ORD-1009;DELIVERY;WEB;PENDING_PAYMENT;2025-12-27T07:50:00;2025-12-27T08:20:00;;Ring bell;24.00;1.80;2.40;23.40;false;;; 
cbd8734a-c729-4152-b8e8-67cf2504927d;ORD-1010;TAKEAWAY;APP;CANCELLED;2025-12-28T09:05:00;2025-12-28T09:30:00;;Customer cancelled via app;0.00;0.00;0.00;0.00;false;2025-12-28T09:10:00;customer;Change of plans
